id,year,school,dorm,mode,speed,target_units
1701,2,hs_interdisc,Kimball,bike,4.4,13
1702,4,hs_interdisc,Norcliffe,walk,1.35,17
1703,2,engineering,Synergy,bike,5.52,17
1704,4,engineering,Paloma,bike,5.61,12
1705,1,engineering,Potter,bike,4.63,13
1706,3,hs_social,Sally Ride,bike,5.78,15
1707,3,hs_interdisc,Mirrielees,bike,4.91,19
1708,3,engineering,Potter,bike,5.03,12
1709,3,hs_natural,Norcliffe,bike,5.75,14
1710,4,hs_interdisc,Kimball,bike,4.39,14
1711,1,engineering,Schiff,bike,4.7,13
1712,3,engineering,Paloma,bike,5.09,13
1713,2,hs_social,Trancos,electric,6.04,12
1714,2,hs_natural,Roble Hall,bike,4.65,12
1715,2,hs_interdisc,Roble Hall,bike,4.85,14
1716,2,hs_social,Toyon,bike,5.48,14
1717,1,hs_social,Branner,walk,1.62,16
1718,2,doerr,Faisan,walk,1.34,12
1719,3,hs_social,Enchanted Broccoli Forest,bike,4.94,15
1720,3,hs_interdisc,Potter,bike,5.37,13
1721,3,hs_interdisc,Crothers Memorial,walk,1.57,17
1722,3,hs_interdisc,Sigma Phi Epsilon,bike,4.1,15
1723,4,hs_natural,EVGR,walk,1.5,12
1724,1,engineering,Potter,bike,5.16,14
1725,3,engineering,Crothers Memorial,bike,4.56,13
1726,2,engineering,Cardenal,bike,4.31,12
1727,2,engineering,Sally Ride,bike,4.2,14
1728,2,hs_interdisc,Cardenal,bike,4.51,20
1729,2,doerr,Faisan,bike,5.65,16
1730,2,engineering,Terra,bike,4.98,13
1731,4,engineering,Ujamaa,bike,4.86,14
1732,4,engineering,Roble Hall,bike,4.95,15
1733,2,hs_interdisc,Synergy,bike,4.03,18
1734,2,hs_natural,Adams,walk,1.49,15
1735,1,hs_interdisc,Potter,bike,4.72,16
1736,2,hs_interdisc,Crothers Memorial,bike,5.75,16
1737,4,hs_interdisc,Adams,bike,4.23,17
1738,4,hs_interdisc,Adams,bike,5.71,13
1739,4,hs_natural,Norcliffe,bike,5.19,14
1740,2,engineering,Crothers Memorial,bike,5.4,14
1741,3,engineering,Potter,bike,4.99,13
1742,1,hs_interdisc,Okada,walk,1.32,14
1743,3,hs_humanities,Mirrielees,bike,4.03,17
1744,4,hs_interdisc,EVGR,bike,4.2,15
1745,3,engineering,Norcliffe,bike,4.28,16
1746,3,hs_social,576 Alvarado,electric,7.85,12
1747,1,hs_social,Castano,bike,5.06,13
1748,3,hs_interdisc,EVGR,walk,1.67,15
1749,4,hs_humanities,Roble Hall,walk,1.62,13
1750,2,hs_interdisc,Columbae,walk,1.55,14
1751,1,hs_natural,Robinson,bike,5.02,14
1752,2,hs_interdisc,Delta Delta Delta,bike,5.39,16
1753,2,engineering,576 Alvarado,bike,4.92,12
1754,2,hs_social,Roble Hall,electric,6.28,13
1755,1,hs_natural,Cedro,bike,5.44,12
1756,1,hs_interdisc,Branner,bike,5.32,14
1757,4,hs_social,Twain,walk,1.45,13
1758,4,hs_social,Kimball,walk,1.65,14
1759,3,engineering,Adelfa,bike,5.73,13
1760,2,hs_interdisc,Phi Kappa Psi,bike,4.89,12
1761,1,engineering,Burbank,bike,4.3,13
1762,4,hs_interdisc,Sigma Nu,walk,1.69,14
1763,3,engineering,BOB,bike,5.42,15
1764,3,engineering,Junipero,bike,4.48,12
1765,3,hs_interdisc,Govco Suites,walk,1.43,15
1766,3,hs_social,Toyon,bike,4.24,12
1767,4,hs_social,Kimball,bike,4.53,13
1768,1,engineering,Mirlo,bike,4.53,15
1769,4,hs_interdisc,Toyon,bike,4.17,13
1770,2,hs_natural,Columbae,bike,5.26,14
1771,4,hs_natural,Toyon,electric,7.75,15
1772,1,engineering,Potter,walk,1.49,16
1773,4,hs_natural,Storey,bike,4.26,13
1774,1,hs_interdisc,Otero,bike,5.16,13
1775,4,hs_interdisc,Junipero,walk,1.55,15
1776,3,hs_social,Potter,bike,4.31,15
1777,1,engineering,Muwekma-Tah-Ruk,electric,7.44,16
1778,4,hs_natural,576 Alvarado,walk,1.58,18
1779,2,hs_interdisc,Ng,bike,5.3,15
1780,4,hs_social,Potter,bike,5.39,14
1781,2,hs_natural,Murray,walk,1.43,14
1782,3,engineering,Sigma Phi Epsilon,bike,5.51,16
1783,4,hs_humanities,Paloma,bike,4.39,12
1784,3,engineering,Ng,bike,5.44,17
1785,1,engineering,West Lagunita,bike,4.27,12
1786,4,hs_interdisc,Neptune,bike,4.84,12
1787,2,engineering,Terra,bike,5.33,14
1788,1,engineering,Okada,bike,4.94,16
1789,1,hs_interdisc,Mirlo,bike,5.69,12
1790,1,engineering,Cedro,walk,1.52,16
1791,2,engineering,Faisan,bike,4.7,12
1792,2,hs_social,Casa Zapata,walk,1.6,13
1793,2,engineering,Sigma Nu,walk,1.37,13
1794,2,hs_interdisc,Toyon,bike,5.1,16
1795,4,engineering,Meier,bike,4.59,18
1796,2,hs_social,Okada,bike,5.4,15
1797,1,hs_natural,Castano,bike,5.27,13
1798,4,hs_interdisc,Toyon,bike,5.09,12
1799,4,engineering,Robert Moore North,bike,5.21,17
1800,2,hs_social,Kimball,walk,1.52,14
1801,1,engineering,Soto,electric,6.91,15
1802,4,engineering,EVGR,bike,4.42,18
1803,2,hs_social,Casa Zapata,bike,5.38,17
1804,4,engineering,576 Alvarado,bike,4.68,13
1805,2,engineering,Kappa Alpha,bike,5.23,17
1806,2,hs_social,Potter,walk,1.36,13
1807,2,hs_interdisc,Gavilan,walk,1.57,14
1808,4,hs_humanities,Grove,bike,5.18,15
1809,4,hs_humanities,Sally Ride,bike,5.45,15
1810,3,hs_social,Jerry,bike,4.53,14
1811,3,hs_humanities,Mirrielees,bike,4.46,15
1812,3,hs_interdisc,Roble Hall,walk,1.61,18
1813,2,hs_humanities,Twain,bike,4.85,14
1814,4,hs_humanities,EVGR,bike,4.83,18
1815,2,hs_humanities,Ng,bike,5.66,18
1816,4,hs_interdisc,Junipero,electric,6.44,13
1817,4,hs_social,Alpha Phi/KKG,walk,1.51,13
1818,3,hs_interdisc,Delta Delta Delta,bike,5.64,15
1819,3,engineering,Toyon,walk,1.51,13
1820,2,engineering,Otero,walk,1.58,12
1821,1,doerr,Lantana,bike,5.1,18
1822,3,engineering,Govco Suites,bike,4.63,14
1823,3,hs_humanities,Govco Suites,walk,1.65,12
1824,3,engineering,Govco Suites,bike,4.61,14
1825,3,hs_natural,Terra,bike,5.76,13
1826,3,hs_interdisc,Crothers Memorial,bike,4.78,16
1827,4,hs_social,Ng,bike,4.04,16
1828,2,hs_humanities,Adams,bike,5.79,14
1829,4,hs_humanities,576 Alvarado,bike,5.0,17
1830,4,engineering,Neptune,bike,5.1,14
1831,4,hs_interdisc,Roble Hall,bike,4.24,18
1832,4,hs_interdisc,Meier,bike,4.39,15
1833,4,engineering,Sally Ride,bike,4.41,14
1834,1,engineering,Casa Zapata,bike,4.75,14
1835,4,engineering,Mirrielees,bike,5.72,17
1836,1,hs_interdisc,Castano,bike,5.18,16
1837,1,hs_social,Robinson,electric,7.46,14
1838,4,hs_interdisc,Delta Delta Delta,walk,1.57,13
1839,4,engineering,550 Lasuen,walk,1.47,17
1840,1,hs_social,Cedro,bike,4.31,15
1841,2,hs_interdisc,Ng,bike,4.94,12
1842,2,hs_social,Naranja,walk,1.45,15
1843,3,hs_humanities,Delta Delta Delta,bike,4.14,12
1844,2,engineering,Faisan,walk,1.62,12
1845,2,engineering,Synergy,bike,5.67,18
1846,4,hs_interdisc,Gavilan,bike,4.53,13
1847,1,engineering,Soto,walk,1.32,17
1848,3,engineering,Crothers Memorial,walk,1.6,17
1849,1,hs_humanities,Casa Zapata,walk,1.41,16
1850,3,engineering,EVGR,bike,5.06,15
1851,4,hs_social,Xanadu,walk,1.58,16
1852,4,hs_interdisc,Trancos,bike,5.26,16
1853,3,engineering,Potter,bike,5.56,16
1854,2,hs_humanities,Naranja,walk,1.44,15
1855,1,hs_social,Cedro,bike,5.1,14
1856,1,engineering,Crothers,bike,4.22,14
1857,1,engineering,Alondra,bike,5.16,12
1858,1,hs_interdisc,Potter,bike,4.14,13
1859,1,hs_natural,Schiff,bike,5.38,12
1860,3,engineering,Toyon,walk,1.4,14
1861,3,hs_social,Pluto,walk,1.7,17
1862,4,hs_social,Kappa Alpha Theta,bike,5.36,12
1863,1,hs_social,Crothers,bike,5.16,13
1864,2,engineering,Meier,bike,4.95,13
1865,4,engineering,Kimball,bike,4.09,16
1866,2,hs_interdisc,Loro,bike,5.58,13
1867,2,engineering,Okada,bike,5.23,14
1868,1,engineering,Robinson,electric,6.41,13
1869,2,engineering,Okada,bike,4.55,17
1870,3,hs_interdisc,Casa Zapata,bike,4.51,14
1871,4,hs_interdisc,Kimball,bike,4.65,16
1872,3,hs_interdisc,Mirrielees,bike,5.58,12
1873,3,hs_interdisc,EVGR,electric,7.7,15
1874,3,engineering,Mirrielees,walk,1.39,15
1875,3,hs_interdisc,Loro,walk,1.39,18
1876,1,hs_social,Castano,bike,4.6,14
1877,4,engineering,Norcliffe,bike,4.08,13
1878,4,hs_interdisc,EVGR,bike,4.75,18
1879,1,engineering,Donner,bike,4.39,17
1880,1,engineering,Mirlo,bike,4.93,17
1881,1,hs_interdisc,Otero,walk,1.47,14
1882,1,hs_interdisc,Alondra,bike,5.66,17
1883,1,hs_natural,Donner,bike,4.55,15
1884,4,engineering,ZAP,bike,5.46,17
1885,2,engineering,Sigma Phi Epsilon,walk,1.33,15
1886,2,hs_interdisc,Kimball,bike,4.35,15
1887,3,engineering,Ng,walk,1.58,14
1888,2,engineering,Adelfa,bike,4.77,12
1889,3,hs_natural,Jerry,walk,1.69,15
1890,3,engineering,Loro,bike,4.75,13
1891,2,hs_interdisc,Crothers Memorial,walk,1.33,17
1892,3,hs_humanities,Pluto,bike,4.92,12
1893,4,hs_social,Otero,bike,4.22,13
1894,3,hs_natural,Faisan,walk,1.65,15
1895,1,hs_social,Burbank,bike,4.97,12
1896,1,hs_social,Burbank,bike,4.49,14
1897,1,engineering,Branner,bike,4.46,16
1898,3,hs_natural,EVGR,bike,4.16,12
1899,1,engineering,Casa Zapata,walk,1.5,14
1900,3,engineering,Mirrielees,bike,4.78,12
1901,4,hs_social,Roble Hall,bike,4.07,16
1902,1,engineering,Alondra,bike,5.44,12
1903,3,hs_interdisc,Crothers Memorial,bike,4.5,14
1904,4,hs_natural,Ng,bike,4.19,15
1905,1,engineering,Soto,bike,4.03,12
1906,3,engineering,576 Alvarado,bike,4.85,12
1907,4,engineering,Junipero,walk,1.64,16
1908,2,doerr,Roble Hall,walk,1.41,13
1909,4,hs_interdisc,Ng,bike,4.73,15
1910,4,engineering,Mirrielees,bike,4.14,15
1911,4,hs_interdisc,Kairos,walk,1.32,12
1912,1,engineering,Donner,walk,1.62,16
1913,4,engineering,Sally Ride,bike,4.65,16
1914,3,engineering,EAST,bike,4.24,13
1915,3,engineering,Durand,bike,4.37,12
1916,3,hs_interdisc,Govco Suites,bike,4.79,15
1917,1,hs_interdisc,West Lagunita,bike,4.8,17
1918,4,doerr,Meier,bike,5.45,13
1919,2,engineering,Twain,bike,4.89,15
1920,2,engineering,Kappa Alpha,electric,7.55,19
1921,1,engineering,West Lagunita,walk,1.66,16
1922,2,engineering,Adams,bike,5.28,12
1923,4,engineering,Adams,electric,6.38,17
1924,3,engineering,Okada,walk,1.33,15
1925,1,hs_social,Burbank,walk,1.43,14
1926,2,engineering,aKDPhi/Chi Omega,bike,4.89,16
1927,4,engineering,Kimball,electric,6.64,16
1928,3,hs_interdisc,Kimball,walk,1.49,14
1929,4,hs_social,Mirrielees,electric,7.46,17
1930,2,hs_interdisc,Roble Hall,walk,1.53,17
1931,2,hs_natural,Murray,bike,5.01,13
1932,1,hs_interdisc,Robinson,bike,4.26,12
1933,4,hs_interdisc,Yost,bike,5.3,14
1934,3,hs_natural,Toyon,bike,4.79,15
1935,2,hs_social,Cardenal,walk,1.42,17
1936,3,engineering,Roble Hall,bike,5.56,12
1937,4,hs_natural,Kimball,bike,5.07,16
1938,1,hs_social,Mirlo,bike,4.55,13
1939,3,hs_interdisc,Govco Suites,bike,4.7,14
1940,1,hs_interdisc,Crothers,bike,4.94,16
1941,2,hs_social,Roble Hall,walk,1.34,12
1942,4,hs_natural,Adelfa,bike,5.04,19
1943,1,hs_interdisc,Cedro,bike,4.08,13
1944,2,hs_social,Toyon,walk,1.64,15
1945,4,engineering,Govco Suites,bike,5.48,12
1946,2,hs_social,Roble Hall,bike,5.79,14
1947,2,hs_humanities,Kimball,walk,1.42,15
1948,4,engineering,Pi Beta Phi,bike,5.2,15
1949,4,engineering,Yost,bike,4.77,16
1950,1,engineering,Okada,walk,1.54,14
1951,1,engineering,Schiff,bike,4.61,14
1952,1,engineering,Branner,bike,4.65,13
1953,1,hs_interdisc,Arroyo,bike,5.15,14
1954,3,engineering,Toussaint,walk,1.59,14
1955,3,engineering,Terra,bike,4.88,17
1956,1,engineering,Potter,bike,5.26,17
1957,3,hs_social,Phi Kappa Psi,bike,4.36,13
1958,4,hs_interdisc,EVGR,electric,6.97,16
1959,3,engineering,Ujamaa,bike,5.42,17
1960,4,hs_social,BOB,bike,4.85,17
1961,1,engineering,Crothers,walk,1.53,16
1962,2,hs_natural,Norcliffe,bike,5.14,15
1963,4,hs_natural,Sigma Nu,bike,4.82,20
1964,4,hs_interdisc,Loro,walk,1.35,14
1965,2,hs_natural,Faisan,bike,4.4,16
1966,3,hs_interdisc,EVGR,electric,7.67,17
1967,2,hs_interdisc,Ng,bike,4.31,12
1968,1,hs_interdisc,Soto,walk,1.5,14
1969,4,engineering,Burbank,bike,5.06,12
1970,3,hs_humanities,Meier,bike,5.76,13
1971,4,engineering,Junipero,walk,1.54,15
1972,1,engineering,Robinson,bike,4.69,12
1973,1,hs_interdisc,Donner,bike,4.5,12
1974,3,hs_natural,Roble Hall,bike,5.61,17
1975,4,engineering,EVGR,bike,5.43,15
1976,4,hs_interdisc,Neptune,bike,5.32,15
1977,1,engineering,West Lagunita,bike,5.29,14
1978,4,hs_interdisc,Crothers Memorial,bike,5.6,15
1979,4,doerr,Roble Hall,bike,4.97,14
1980,1,engineering,Mirlo,bike,4.26,17
1981,3,hs_interdisc,Mirrielees,bike,4.15,14
1982,4,engineering,Storey,walk,1.5,15
1983,4,engineering,Adams,walk,1.59,13
1984,3,engineering,Toussaint,walk,1.68,17
1985,1,engineering,Branner,bike,4.45,15
1986,3,engineering,Toyon,walk,1.37,16
1987,1,engineering,Okada,bike,5.66,14
1988,4,engineering,Crothers Memorial,bike,4.11,13
1989,4,hs_interdisc,Trancos,bike,4.14,13
1990,1,engineering,Castano,bike,5.37,12
1991,4,engineering,Mirrielees,walk,1.46,17
1992,4,hs_humanities,Kappa Alpha,walk,1.41,18
1993,2,engineering,Twain,bike,5.63,12
1994,2,hs_interdisc,Crothers Memorial,bike,5.39,15
1995,2,hs_natural,Norcliffe,bike,5.3,14
1996,1,hs_natural,Okada,walk,1.35,13
1997,3,engineering,Columbae,bike,4.91,14
1998,1,hs_interdisc,Okada,bike,4.64,16
1999,2,hs_interdisc,Okada,bike,5.26,16
2000,2,hs_interdisc,Crothers Memorial,electric,6.17,16
2001,3,engineering,Roble Hall,walk,1.52,12
2002,2,doerr,Okada,bike,5.62,14
2003,2,hs_social,Kappa Alpha Theta,bike,5.13,15
2004,1,hs_interdisc,Larkin,walk,1.42,15
2005,2,engineering,Adams,walk,1.65,12
2006,1,hs_interdisc,West Lagunita,bike,5.1,14
2007,3,engineering,Adelfa,walk,1.48,15
2008,3,engineering,Robert Moore North,bike,4.69,12
2009,1,engineering,Schiff,bike,4.36,17
2010,4,hs_natural,Yost,bike,4.15,12
2011,3,engineering,Meier,bike,5.57,15
2012,2,hs_social,Delta Delta Delta,bike,4.69,15
2013,4,engineering,Roble Hall,walk,1.46,14
2014,1,hs_interdisc,Branner,bike,5.48,14
2015,3,engineering,Govco Suites,bike,4.22,12
2016,1,hs_interdisc,Mirlo,bike,4.13,19
2017,2,doerr,Paloma,bike,4.93,19
2018,2,hs_interdisc,Sigma Nu,bike,4.79,14
2019,2,engineering,Kimball,bike,5.67,15
2020,3,engineering,Potter,walk,1.36,12
2021,3,engineering,Okada,bike,4.45,14
2022,1,engineering,Larkin,bike,5.53,15
2023,3,hs_humanities,576 Alvarado,bike,4.74,19
2024,2,engineering,Alpha Phi/KKG,walk,1.57,16
2025,2,engineering,Murray,bike,5.77,14
2026,3,hs_interdisc,Grove,bike,4.12,18
2027,1,hs_interdisc,Casa Zapata,bike,4.9,13
2028,1,engineering,Okada,bike,5.23,16
2029,4,hs_social,550 Lasuen,walk,1.51,13
2030,4,hs_interdisc,576 Alvarado,bike,4.95,16
2031,1,engineering,Potter,walk,1.32,15
2032,3,engineering,Meier,bike,4.75,12
2033,2,engineering,Toyon,walk,1.5,14
2034,1,engineering,Burbank,walk,1.41,14
2035,3,hs_interdisc,EVGR,bike,4.96,14
2036,1,hs_humanities,Otero,bike,5.13,12
2037,3,hs_social,EVGR,bike,5.25,13
2038,1,hs_interdisc,Rinconada,bike,5.8,15
2039,1,engineering,Alondra,bike,5.58,12
2040,3,engineering,Meier,bike,5.18,16
2041,4,hs_interdisc,Paloma,bike,5.21,16
2042,4,hs_interdisc,Toyon,bike,4.83,14
2043,1,engineering,West Lagunita,walk,1.54,15
2044,1,hs_interdisc,Lantana,bike,5.24,16
2045,1,hs_interdisc,Crothers,bike,5.31,18
2046,2,hs_humanities,Casa Zapata,bike,5.44,14
2047,1,engineering,Okada,walk,1.65,14
2048,2,hs_interdisc,Crothers Memorial,bike,5.69,19
2049,4,doerr,Burbank,bike,4.31,19
2050,4,hs_natural,EVGR,walk,1.52,13
2051,4,engineering,Faisan,walk,1.37,14
2052,1,hs_natural,Potter,bike,5.41,14
2053,4,engineering,Enchanted Broccoli Forest,bike,4.34,13
2054,4,hs_social,Norcliffe,bike,5.37,16
2055,1,engineering,Castano,bike,4.17,17
2056,3,hs_social,Sigma Phi Epsilon,bike,5.68,12
2057,3,engineering,Sigma Phi Epsilon,bike,5.23,15
2058,4,hs_humanities,Robert Moore North,electric,7.82,15
2059,3,engineering,Yost,bike,4.87,14
2060,1,engineering,Rinconada,bike,5.8,16
2061,2,hs_natural,Casa Zapata,electric,7.43,14
2062,1,engineering,Larkin,bike,5.52,14
2063,2,engineering,Meier,walk,1.57,12
2064,4,hs_interdisc,EAST,bike,5.24,12
2065,3,hs_natural,Kimball,bike,5.43,14
2066,4,engineering,Crothers Memorial,walk,1.64,15
2067,2,engineering,Gavilan,walk,1.59,12
2068,1,engineering,Cedro,bike,5.18,12
2069,4,hs_interdisc,Mirrielees,bike,4.15,16
2070,3,hs_social,Loro,bike,5.59,12
2071,1,engineering,Donner,bike,5.16,17
2072,2,engineering,Faisan,walk,1.59,13
2073,1,hs_natural,Arroyo,walk,1.58,14
2074,4,hs_social,Cardenal,walk,1.4,13
2075,3,hs_social,Trancos,bike,4.19,13
2076,2,hs_interdisc,Robert Moore North,walk,1.57,14
2077,3,engineering,Synergy,walk,1.37,17
2078,2,hs_interdisc,Kimball,electric,6.58,16
2079,4,hs_social,Meier,bike,4.15,15
2080,2,hs_social,Hammarskjold,walk,1.33,14
2081,3,engineering,Robert Moore North,bike,5.69,15
2082,1,engineering,Cedro,bike,4.48,17
2083,3,hs_humanities,Norcliffe,walk,1.47,13
2084,4,hs_interdisc,680 Lomita,bike,5.13,18
2085,3,hs_interdisc,Sally Ride,electric,6.56,18
2086,1,engineering,Cedro,bike,5.15,12
2087,1,hs_interdisc,Larkin,bike,5.15,19
2088,4,engineering,Robert Moore North,bike,5.72,15
2089,3,engineering,Neptune,bike,5.65,13
2090,1,hs_social,Rinconada,bike,4.56,17
2091,3,engineering,Crothers Memorial,bike,4.29,13
2092,3,hs_interdisc,EAST,electric,7.44,15
2093,4,hs_interdisc,EVGR,bike,4.94,14
2094,2,hs_social,Kimball,bike,5.71,12
2095,1,hs_social,Branner,bike,4.95,12
2096,3,hs_interdisc,Meier,bike,4.75,15
2097,1,engineering,Mirlo,bike,4.24,15
2098,1,hs_social,Lantana,bike,4.36,14
2099,4,engineering,EVGR,bike,5.0,13
2100,1,hs_interdisc,Branner,bike,4.75,14
2101,2,hs_humanities,Otero,bike,4.55,16
2102,1,hs_social,Castano,bike,5.76,16
2103,1,engineering,Crothers,bike,5.34,14
2104,1,hs_interdisc,Lantana,bike,5.68,16
2105,3,hs_natural,BOB,bike,5.39,13
2106,3,hs_social,BOB,bike,4.69,12
2107,1,engineering,Robinson,bike,5.19,12
2108,3,hs_interdisc,Faisan,bike,4.94,12
2109,2,engineering,Kimball,walk,1.31,16
2110,1,engineering,Burbank,bike,4.78,15
2111,4,engineering,Ng,bike,5.41,18
2112,2,hs_humanities,Ng,bike,5.59,15
2113,1,hs_interdisc,Burbank,walk,1.64,13
2114,2,engineering,Phi Kappa Psi,walk,1.53,14
2115,4,hs_social,Ng,bike,4.69,13
2116,4,hs_interdisc,Sally Ride,bike,4.82,15
2117,1,engineering,Cedro,walk,1.52,14
2118,3,engineering,Toyon,walk,1.43,15
2119,2,hs_social,Casa Zapata,bike,5.05,14
2120,3,engineering,Grove,bike,5.4,15
2121,3,engineering,Junipero,walk,1.38,15
2122,4,engineering,Enchanted Broccoli Forest,bike,5.68,14
2123,1,engineering,Rinconada,walk,1.67,13
2124,4,engineering,Jerry,bike,4.06,14
2125,1,engineering,Otero,bike,4.53,14
2126,1,engineering,Branner,bike,5.18,17
2127,4,engineering,Neptune,walk,1.45,15
2128,1,engineering,Lantana,walk,1.67,16
2129,3,doerr,Enchanted Broccoli Forest,bike,5.67,12
2130,1,hs_interdisc,West Lagunita,bike,4.08,19
2131,3,hs_humanities,Crothers Memorial,walk,1.67,15
2132,1,engineering,Potter,bike,5.02,15
2133,1,engineering,Cedro,bike,4.48,14
2134,1,engineering,Casa Zapata,walk,1.31,15
2135,2,engineering,Alpha Phi/KKG,walk,1.56,17
2136,1,hs_social,Robinson,bike,5.65,19
2137,2,engineering,Kappa Alpha Theta,bike,5.27,12
2138,2,engineering,Sally Ride,bike,4.49,13
2139,4,engineering,Ng,bike,5.41,16
2140,1,hs_natural,Potter,bike,4.56,15
2141,3,engineering,Murray,bike,4.28,16
2142,3,hs_natural,Murray,bike,5.0,16
2143,1,engineering,Okada,walk,1.55,16
2144,1,hs_interdisc,Arroyo,bike,4.85,13
2145,4,engineering,Meier,bike,5.37,12
2146,3,hs_interdisc,Kappa Sigma,bike,4.93,13
2147,2,hs_interdisc,Loro,bike,4.7,14
2148,1,hs_interdisc,Okada,bike,4.48,16
2149,4,hs_natural,Faisan,bike,5.43,14
2150,2,hs_social,Roble Hall,walk,1.32,12
2151,1,engineering,Ujamaa,bike,4.06,15
2152,3,hs_interdisc,Crothers Memorial,bike,4.39,12
2153,3,hs_interdisc,Roble Hall,bike,5.64,15
2154,3,engineering,Toyon,bike,4.7,16
2155,4,engineering,Mirrielees,bike,5.51,13
2156,2,hs_social,aKDPhi/Chi Omega,bike,4.77,17
2157,3,hs_interdisc,Roth,bike,4.82,18
2158,4,engineering,Ng,walk,1.58,13
2159,2,engineering,Kappa Alpha Theta,bike,5.09,17
2160,1,engineering,Schiff,bike,4.44,16
2161,1,engineering,Crothers,walk,1.3,13
2162,4,hs_interdisc,Otero,electric,7.95,12
2163,1,hs_social,Otero,bike,5.12,17
2164,4,engineering,Faisan,bike,4.26,15
2165,2,engineering,Potter,bike,4.72,14
2166,2,hs_humanities,Roble Hall,electric,6.7,15
2167,4,hs_natural,Burbank,bike,5.19,15
2168,3,engineering,Potter,bike,4.89,14
2169,3,doerr,Twain,bike,4.51,15
2170,2,hs_social,Ng,walk,1.64,14
2171,2,hs_social,Naranja,bike,4.7,13
2172,1,engineering,Potter,bike,4.06,15
2173,2,hs_social,Ng,bike,5.54,17
2174,4,engineering,Sally Ride,walk,1.32,17
2175,1,hs_natural,Larkin,bike,4.97,15
2176,1,hs_interdisc,Schiff,bike,5.68,12
2177,3,hs_interdisc,Enchanted Broccoli Forest,walk,1.56,16
2178,2,hs_interdisc,Okada,bike,4.2,16
2179,2,hs_natural,Toyon,walk,1.37,15
2180,2,engineering,Sigma Phi Epsilon,walk,1.5,12
2181,3,hs_social,Roble Hall,bike,5.64,17
2182,2,hs_interdisc,Kappa Alpha Theta,walk,1.31,17
2183,4,engineering,Murray,bike,4.33,12
2184,2,engineering,Terra,walk,1.64,15
2185,1,engineering,Larkin,bike,4.42,15
2186,2,hs_humanities,Muwekma-Tah-Ruk,walk,1.54,15
2187,1,engineering,Branner,bike,4.51,13
2188,1,engineering,Schiff,bike,5.57,18
2189,1,hs_interdisc,Ujamaa,walk,1.51,14
2190,2,hs_interdisc,Adams,bike,4.97,14
2191,3,engineering,Junipero,bike,5.49,16
2192,4,hs_interdisc,Phi Kappa Psi,bike,5.0,13
2193,3,engineering,Kappa Alpha,bike,5.15,13
2194,1,hs_social,Donner,bike,5.21,14
2195,3,engineering,Muwekma-Tah-Ruk,bike,4.42,13
2196,1,engineering,Muwekma-Tah-Ruk,walk,1.42,16
2197,4,engineering,Mirrielees,walk,1.6,14
2198,2,engineering,Toyon,walk,1.49,15
2199,1,hs_natural,Schiff,walk,1.39,12
2200,1,hs_interdisc,Rinconada,bike,4.77,14
2201,2,hs_interdisc,Kappa Sigma,walk,1.55,16
2202,3,hs_humanities,Adelfa,bike,4.56,14
2203,4,engineering,EVGR,bike,5.63,13
2204,3,doerr,Storey,bike,5.18,18
2205,1,engineering,West Lagunita,walk,1.51,14
2206,3,hs_natural,EVGR,bike,5.12,16
2207,4,engineering,Faisan,bike,5.03,16
2208,1,hs_social,Mirlo,bike,4.58,16
2209,4,engineering,Kimball,walk,1.61,12
2210,3,hs_interdisc,Mirrielees,bike,4.12,15
2211,2,hs_interdisc,Adelfa,bike,4.88,14
2212,1,hs_natural,Soto,walk,1.35,14
2213,1,engineering,Alondra,bike,5.49,15
2214,3,hs_social,Neptune,bike,5.32,18
2215,4,hs_interdisc,Kimball,walk,1.47,17
2216,1,engineering,Lantana,electric,6.76,12
2217,2,engineering,Toyon,bike,4.05,14
2218,1,hs_social,Okada,bike,4.37,13
2219,4,hs_natural,Adams,bike,4.4,14
2220,3,hs_interdisc,Ng,bike,4.89,12
2221,4,hs_natural,Toussaint,walk,1.33,15
2222,1,engineering,Cedro,walk,1.39,17
2223,2,hs_social,Burbank,bike,4.31,16
2224,1,engineering,Ujamaa,walk,1.59,14
2225,1,engineering,Casa Zapata,bike,4.44,14
2226,2,hs_social,Terra,bike,4.81,12
2227,4,hs_interdisc,Loro,electric,7.92,16
2228,2,hs_social,Delta Delta Delta,bike,4.6,16
2229,2,engineering,576 Alvarado,walk,1.46,15
2230,2,hs_humanities,Okada,bike,4.11,16
2231,3,engineering,Alpha Phi/KKG,walk,1.53,15
2232,4,hs_interdisc,Toyon,walk,1.5,16
2233,2,hs_social,Burbank,walk,1.6,13
2234,1,hs_social,Cardenal,walk,1.35,16
2235,3,hs_interdisc,Sigma Phi Epsilon,bike,5.71,13
2236,1,engineering,Alondra,bike,5.57,14
2237,1,hs_interdisc,Muwekma-Tah-Ruk,walk,1.61,13
2238,2,hs_interdisc,Murray,bike,4.77,14
2239,3,hs_natural,Adelfa,bike,4.42,14
2240,3,engineering,Warehaus,bike,5.47,12
2241,2,hs_social,Norcliffe,walk,1.64,12
2242,1,hs_interdisc,Arroyo,bike,5.5,14
2243,1,engineering,Crothers,bike,4.19,12
2244,3,hs_social,Casa Zapata,walk,1.66,18
2245,2,hs_social,Kappa Sigma,bike,5.62,12
2246,4,engineering,Adams,walk,1.62,12
2247,2,engineering,Paloma,walk,1.61,16
2248,4,hs_humanities,Crothers Memorial,bike,5.79,18
